distance_km,speed_limit_kmh,hour_of_day,is_weekend,incident_reported,weather_factor,travel_time_min
4.5,50,8,0,0,1.0,7.2
4.5,50,8,0,1,1.0,15.5
4.5,50,17,0,0,1.2,12.8
4.5,50,17,0,1,1.5,22.4
3.0,50,9,0,0,1.0,4.5
3.0,50,14,0,0,1.0,3.8
5.0,60,8,0,0,1.0,6.2
5.0,60,18,0,0,1.0,8.9
2.5,40,12,0,0,1.0,4.2
2.5,40,17,0,1,1.0,11.5
6.0,80,8,0,0,1.0,5.8
6.0,80,18,0,0,1.2,9.1
7.2,70,10,0,0,1.0,7.5
7.2,70,17,0,1,1.3,18.2
4.0,90,11,0,0,1.0,3.2
4.0,90,17,0,0,1.0,4.5
5.5,75,8,0,0,1.0,5.5
5.5,75,17,0,1,1.4,14.8
4.5,50,10,1,0,1.0,5.8
4.5,50,15,1,0,1.0,6.0
3.0,50,11,1,0,1.0,3.8
5.0,60,14,1,0,1.0,5.2
2.5,40,16,1,0,1.0,4.0
6.0,80,12,1,0,1.0,4.8
7.2,70,15,1,0,1.0,6.8
4.0,90,13,1,0,1.0,2.9
5.5,75,14,1,0,1.0,4.6
4.5,50,2,0,0,1.0,5.4
3.0,50,3,0,0,1.0,3.6
5.0,60,1,0,0,1.0,5.0
2.5,40,4,0,0,1.0,3.75
6.0,80,23,0,0,1.0,4.5
7.2,70,22,0,0,1.0,6.17
4.0,90,2,0,0,1.0,2.67
5.5,75,3,0,0,1.0,4.4
